Read S3,Hash and Bucket,Overhead,Total,
2750,10230,4177,17157,
3548,12970,2741,19259,
5531,9535,4193,19259,
2769,14346,2710,19825,
4343,13448,2781,20572,
4393,13771,2829,20993,
4019,14034,2970,21023,
5195,13686,2879,21760,
5401,13758,2766,21925,
5676,13931,2633,22240,
4997,14295,2985,22277,
6863,13527,2693,23083,
6431,14338,2553,23322,
6986,14011,2349,23346,
9557,10000,4238,23795,
10325,13199,2324,25848,
3885,19712,4455,28052,
4729,20004,4608,29341,
9582,18472,4364,32418,
10016,18538,4497,33051,
2225,12201,2019,16445,
3735,12067,2116,17918,
2353,12607,2257,17217,
1975,13724,2357,18056,
4896,12915,2244,20055,
2288,13194,2374,17856,
4276,13285,2277,19838,
1994,12424,1955,16373,
3115,12987,2215,18317,
2617,12979,2339,17935,
2007,12251,2019,16277,
7212,12155,2275,21642,
4574,12944,2078,19596,
7021,12832,2116,21969,
8390,12561,2431,23382,
2053,12540,2425,17018,
11008,12322,2576,25906,
7751,14109,2205,24065,
3024,13757,2440,19221,
5792,11731,1921,19444,
2838,11753,2218,16809,
2899,12042,2098,17039,
4648,12442,2018,19108,
1988,13221,2115,17324,
3534,12754,2046,18334,
3063,12763,2183,18009,
3021,11994,2231,17246,
4342,12939,1920,19201,
3567,13098,1964,18629,
2321,12067,1987,16375,
4134,12761,2129,19024,
3263,11611,2110,16984,
12108,14385,2336,28829,
2529,12427,2316,17272,
8893,12526,1923,23342,
6230,12836,2084,21150,
2449,12740,2228,17417,
2213,12516,2051,16780,
2575,12086,2386,17047,
2796,12079,2160,17035,
2484,11729,2006,16219,
1793,12280,1925,15998,
4868,12198,2127,19193,
2620,11937,1923,16480,
2504,11591,2008,16103,
2173,12225,1845,16243,
3560,11842,1909,17311,
1979,12068,1864,15911,
4950,11931,2079,18960,
3410,12391,1854,17655,
2108,11725,2030,15863,
8095,12678,2162,22935,
11027,12249,2086,25362,
7540,12061,2397,21998,
2925,12071,1974,16970,
4810,12283,2014,19107,
2546,13303,2483,18332,
2361,11928,1718,16007,
3531,12280,2167,17978,
2355,10812,2053,15220,
3309,11575,1885,16769,
3425,11383,1974,16782,
8836,11488,2012,22336,
2501,12668,1945,17114,
2270,11325,1793,15388,
2599,12058,1756,16413,
6713,11673,1932,20318,
1607,11531,2081,15219,
2974,11648,1885,16507,
9055,12970,2091,24116,
2761,11326,2451,16538,
2933,11840,2175,16948,
2211,11738,1997,15946,
3057,12659,2219,17935,
2458,11989,2316,16763,
7817,12489,2033,22339,
4644,11769,1826,18239,
14079,12273,2176,28528,
3052,12007,2070,17129,
2503,12334,2037,16874,
15742,13306,2187,31235,
3098,11773,1925,16796,
3220,11758,1801,16779,
10510,12068,1896,24474,
9510,11960,1953,23423,
4102,12220,1664,17986,
9781,12266,2093,24140,
1781,11454,1758,14993,
2569,11374,2034,15977,
4921,12029,1974,18924,
3055,12568,1933,17556,
8745,12174,1855,22774,
2401,12581,1864,16846,
2073,12266,2165,16504,
3586,12497,1794,17877,
3491,12704,2105,18300,
2514,11757,1947,16218,
2305,11322,1988,15615,
3355,12186,2237,17778,
2053,11788,1875,15716,
3584,12182,2058,17824,
1945,11769,1959,15673,
2818,12405,1819,17042,
9191,11467,1772,22430,
2884,17660,1586,22130,
3080,11204,1623,15907,
2259,11911,2098,16268,
3325,12445,2217,17987,
2040,11832,2285,16157,
2870,12401,1829,17100,
2320,12201,1647,16168,
5709,11213,1930,18852,
11422,12563,1644,25629,
6875,10631,1714,19220,
7668,10546,1561,19775,
617958,1697236,300955,2616149,
23.62090233,64.87535687,11.5037408,,
-Probing-,,,,
Hashing,Probing,Overhead,Total,
83203,916088,2,999293,
81356,918491,3,999850,
77298,927182,2,1004482,
79518,926934,4,1006456,
84456,923569,3,1008028,
83701,925469,3,1009173,
75765,943325,3,1019093,
78686,941895,1,1020582,
80879,944865,2,1025746,
82099,968145,2,1050246,
82866,969294,4,1052164,
87981,969772,3,1057756,
98251,963657,2,1061910,
92514,986301,2,1078817,
99963,979424,3,1079390,
94499,986109,2,1080610,
76584,1025723,2,1102309,
76794,1030704,3,1107501,
77215,1031750,3,1108968,
76623,1034578,3,1111204,
1670251,19313275,52,20983578,\
7.959800755,92.03995143,0.000247813,,